ROI,Distance_to_MG,Activation_Score
Model,447.21359549995793,0.8466666666666666
Model,500.0,1.0433333333333334
Model,424.26406871192853,0.7833333333333332
Model,223.60679774997897,0.7933333333333332
Model,141.4213562373095,0.2466666666666667
Model,447.21359549995793,0.31333333333333335
Model,0.0,0.6266666666666666
Model,500.0,0.6166666666666667
Model,100.0,-0.15333333333333338
Model,360.5551275463989,0.29333333333333333
Model,509.9019513592785,0.43333333333333335
Model,424.26406871192853,0.7333333333333333
Model,424.26406871192853,0.44333333333333336
Model,640.3124237432849,0.16333333333333333
Model,200.0,0.6200000000000001
Model,200.0,0.046666666666666634
Model,223.60679774997897,0.56
Model,360.5551275463989,-0.31
Model,141.4213562373095,-0.23333333333333334
Model,360.5551275463989,1.5533333333333332
Model,0.0,1.02
Model,141.4213562373095,1.25
Model,0.0,0.4933333333333333
Model,412.31056256176606,1.2999999999999998
Model,0.0,0.1433333333333333
Model,141.4213562373095,1.0566666666666666
Model,200.0,0.6066666666666667
Model,223.60679774997897,0.3766666666666667
Model,223.60679774997897,0.52
Model,300.0,0.8833333333333333
Model,316.22776601683796,0.5433333333333333
Model,100.0,0.37333333333333335
Model,200.0,0.8133333333333332
Model,360.5551275463989,0.010000000000000009
Model,412.31056256176606,0.7599999999999999
